종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"451060","1Q 200액티브","28000","-800","-2.78","28019.31","27775","28520","27775","184104","5169998019","277200000000","0","9900000","코스피 200","862.47","-26.10","-2.94"
"491610","1Q CD금리액티브(합성)","103555","15","0.01","103284.70","103550","103560","103550","5222","540758465","220882815000","0","2133000","KIS 하나 CD금리 총수익지수","11718.18","0.00","0.00"
"0103T0","1Q K소버린AI","9620","-300","-3.02","9628.90","9660","9695","9590","132750","1281382151","26455000000","0","2750000","iSelect K소버린AI 지수","1900.14","-52.52","-2.69"
"463290","1Q 단기금융채액티브","107850","15","0.01","107846.87","107845","107855","107845","3154","340156931","192296550000","0","1783000","MK 머니마켓 지수(총수익)","14562.86","0.96","0.01"
"0131W0","1Q 단기특수은행채액티브","100895","25","0.02","100897.01","100885","100895","100885","6921","698253677","109370180000","0","1084000","KIS 단기특수은행채 지수(총수익)","115.76","0.00","0.00"
"479080","1Q 머니마켓액티브","52980","15","0.03","52977.50","52970","52980","52970","46385","2457303800","880739520000","0","16624000","KIS-하나 MMF 지수(총수익)","119.18","0.00","0.00"
"0026S0","1Q 미국S&P500","12050","-100","-0.82","12071.24","12080","12080","12025","247429","2981728456","244615000000","0","20300000","S&P 500","6624.70","0.00","0.00"
"0052S0","1Q 미국S&P500미국채혼합50액티브","11645","20","0.17","11654.08","11650","11665","11610","161257","1876579342","253861000000","0","21800000","S&P 500 and Short-Term Treasury 50/50 Blend Index","271.75","0.00","0.00"
"0069M0","1Q 미국나스닥100","12135","-140","-1.14","12163.57","12175","12175","12110","176486","2141737391","117709500000","0","9700000","NASDAQ 100","24425.09","0.00","0.00"
"0111P0","1Q 미국나스닥100미국채혼합50액티브","10595","-5","-0.05","10618.49","10615","10620","10580","163788","1736232723","197067000000","0","18600000","Nasdaq-100 US T-Bills 0-6 Month 50/50 Index","2828.95","0.00","0.00"
"0083S0","1Q 미국메디컬AI","9880","-215","-2.13","9882.19","9900","9910","9865","65084","642967577","41496000000","0","4200000","KEDI 미국메디컬AI 지수","1709.77","0.00","0.00"
"0004G0","1Q 미국배당TOP30","9300","-165","-1.74","9294.34","9345","9590","9280","22391","208360036","11160000000","0","1200000","Solactive U.S. Dividend TOP 30 Index PR","4044.05","0.00","0.00"
"0131V0","1Q 미국우주항공테크","12555","-455","-3.50","12521.04","12555","12590","12510","2153899","27051287913","581924250000","0","46350000","Akros 미국우주항공테크 지수","4171.55","0.00","0.00"
"0094X0","1Q 샤오미밸류체인액티브","10085","20","0.20","10134.23","10225","10385","9960","55571","559487455","15631750000","0","1550000","Solactive-KEDI Xiaomi Focus China Tech Index","1909.09","-29.27","-1.51"
"0017Y0","1Q 종합채권(AA-이상)액티브","96795","-580","-0.60","96861.29","96810","96820","96795","70","6776625","90503325000","0","935000","KIS 종합채권형 지수(AA-이상)(총수익)","123.31","0.00","0.00"
"0052T0","1Q 중단기회사채(A-이상)액티브","50190","-5","-0.01","50214.57","50185","50200","50180","12148","609614275","91245420000","0","1818000","KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익)","118.50","0.00","0.00"
"495330","1Q 코리아밸류업","25775","-670","-2.53","25705.25","25620","26190","25530","43949","1132389933","105677500000","0","4100000","코리아 밸류업 지수","2613.41","-75.26","-2.80"
"492500","1Q 현대차그룹채권(A+이상)&국고통안","51020","-75","-0.15","51039.77","51020","51045","51000","3020","154090590","109080760000","0","2138000","KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수","11845.30","-11.40","-0.10"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","10700","10","0.09","10706.51","10700","10700","10695","3340","35721895","87740000000","0","8200000","KIS 11월 만기자동연장회사채(AA-이상) 총수익지수","122.33","0.00","0.00"
"105190","ACE 200","87170","-2720","-3.03","87303.56","87035","88820","86685","640778","56037265879","1433946500000","0","16450000","코스피 200","862.37","-26.20","-2.95"
"332500","ACE 200TR","58240","-1660","-2.77","58143.87","57955","59200","57800","415136","24264753247","151424000000","0","2600000","코스피 200 TR","1138.08","-34.03","-2.90"
"461270","ACE 26-06 회사채(AA-이상)액티브","11125","0","0.00","11143.10","11125","11130","11125","40419","449678935","153525000000","0","13800000","KIS 크레딧 2606만기형(AA-이상)지수(총수익지수)","124.78","0.00","0.00"
"475260","ACE 2월만기자동연장회사채AA-이상액티브","10620","-5","-0.05","10624.06","10625","10625","10620","74","785990","50020200000","0","4710000","KAP 2월 만기자동연장회사채(AA-이상) 총수익지수","121.27","0.00","0.00"
"385600","ACE 2차전지&친환경차액티브","10375","-170","-1.61","10332.03","10315","10480","10275","37108","383580254","20750000000","0","2000000","FnGuide 친환경 자동차 밸류체인 지수","1845.53","-45.71","-2.42"
"475270","ACE 5월만기자동연장회사채AA-이상액티브","10595","-5","-0.05","10598.12","10600","10600","10595","305","3232990","44287100000","0","4180000","KIS 5월 만기자동연장회사채(AA-이상) 총수익지수","119.88","0.00","0.00"
"475280","ACE 8월만기자동연장회사채AA-이상액티브","10580","0","0.00","10587.43","10590","10590","10580","7","74080","73848400000","0","6980000","KAP 8월 만기자동연장회사채(AA-이상) 총수익지수","121.53","0.00","0.00"
"469150","ACE AI반도체TOP3+","48675","-960","-1.93","48547.32","47900","49555","47775","1416354","68845284601","537858750000","0","11050000","FnGuide AI반도체 TOP3+ 지수","6089.70","-135.78","-2.18"
"0079X0","ACE BYD밸류체인액티브","12290","-150","-1.21","12364.74","12870","12870","12280","775","9552750","3072500000","0","250000","Bloomberg BYD Plus Top Supply Chain Select Price Return Index","2735.24","0.00","0.00"
